# ticker,grupo[,subyacente]
# Los .BA se resuelven al subyacente con cedears.csv.
# Nada cotiza en pesos: se baja el papel en su mercado de origen.
ticker,grupo
ERIC.BA,ADR Europa
NOKA.BA,ADR Europa
ORAN.BA,ADR Europa
TEFO.BA,ADR Europa
TIIAY.BA,ADR Europa
PSO.BA,ADR Europa
SIEGY.BA,ADR Europa
BAS.BA,Europa local
BAYN.BA,Europa local
MBG.BA,Europa local
ADS.BA,Europa local
EOAN.BA,Europa local
BSN.BA,Europa local
DTEA.BA,Europa local
BABA.BA,ADR Asia
JD.BA,ADR Asia
PDD.BA,ADR Asia
BIDU.BA,ADR Asia
NTES.BA,ADR Asia
TCOM.BA,ADR Asia
JOYY.BA,ADR Asia
WBO.BA,ADR Asia
NIO.BA,ADR Asia
XPEV.BA,ADR Asia
LFC.BA,ADR Asia
TSM.BA,ADR Asia
INFY.BA,ADR Asia
HDB.BA,ADR Asia
IBN.BA,ADR Asia
TTM.BA,ADR Asia
SE.BA,ADR Asia
SONY.BA,ADR Asia
TM.BA,ADR Asia
HMC.BA,ADR Asia
CAJ.BA,ADR Asia
MFG.BA,ADR Asia
MUFG.BA,ADR Asia
NMR.BA,ADR Asia
KB.BA,ADR Asia
KEP.BA,ADR Asia
PKS.BA,ADR Asia
HNPIY.BA,ADR Asia
YZCA.BA,ADR Asia
JMIA.BA,ADR Asia
NSAN.BA,ADR Asia
PCRF.BA,ADR Asia
NEC1.BA,Asia local
HHPD.BA,Asia local
SMSN.BA,Asia local
MELI.BA,Latam
GLOB.BA,Latam
ARCO.BA,Latam
BIOX.BA,Latam
ADGO.BA,Latam
CAAP.BA,Latam
GPRK.BA,Latam
LND.BA,Latam
VIST.BA,Latam
TEN.BA,Latam
TXR.BA,Latam
PBR.BA,Latam
VALE.BA,Latam
ITUB.BA,Latam
BBD.BA,Latam
BSBR.BA,Latam
ABEV.BA,Latam
BRFS.BA,Latam
GGB.BA,Latam
SUZ.BA,Latam
SID.BA,Latam
BAK.BA,Latam
ELP.BA,Latam
EBR.BA,Latam
SBS.BA,Latam
CBRD.BA,Latam
UGP.BA,Latam
VIV.BA,Latam
TIMB.BA,Latam
PAGS.BA,Latam
STNE.BA,Latam
XP.BA,Latam
UN.BA,Latam
AMX.BA,Latam
FMX.BA,Latam
KOFM.BA,Latam
ASR.BA,Latam
PAC.BA,Latam
CX.BA,Latam
TV.BA,Latam
AKO.B.BA,Latam
BBAS3.BA,Brasil B3
BPA11.BA,Brasil B3
HAPV3.BA,Brasil B3
LREN3.BA,Brasil B3
MGLU3.BA,Brasil B3
NATU3.BA,Brasil B3
PRIO3.BA,Brasil B3
RENT3.BA,Brasil B3
WEGE3.BA,Brasil B3
SPY.BA,ETF indice
IVV.BA,ETF indice
QQQ.BA,ETF indice
DIA.BA,ETF indice
IWM.BA,ETF indice
IJH.BA,ETF indice
RSP.BA,ETF indice
IVE.BA,ETF indice
IVW.BA,ETF indice
SPHQ.BA,ETF indice
ESGU.BA,ETF indice
VIG.BA,ETF indice
ACWI.BA,ETF global
EFA.BA,ETF global
VEA.BA,ETF global
IEUR.BA,ETF global
IEMG.BA,ETF global
EEM.BA,ETF global
ILF.BA,ETF global
EWZ.BA,ETF pais
EWJ.BA,ETF pais
EWY.BA,ETF pais
FXI.BA,ETF pais
XLB.BA,ETF sector
XLC.BA,ETF sector
XLE.BA,ETF sector
XLF.BA,ETF sector
XLI.BA,ETF sector
XLK.BA,ETF sector
XLP.BA,ETF sector
XLRE.BA,ETF sector
XLU.BA,ETF sector
XLV.BA,ETF sector
XLY.BA,ETF sector
SMH.BA,ETF industria
IBB.BA,ETF industria
ITA.BA,ETF industria
XME.BA,ETF industria
COPX.BA,ETF industria
URA.BA,ETF industria
ICLN.BA,ETF industria
CIBR.BA,ETF industria
ARKK.BA,ETF industria
GDX.BA,ETF commodities
GLD.BA,ETF commodities
SLV.BA,ETF commodities
USO.BA,ETF commodities
IBIT.BA,ETF cripto
ETHA.BA,ETF cripto
TQQQ.BA,ETF apalancado
SPXL.BA,ETF apalancado
SH.BA,ETF inverso
PSQ.BA,ETF inverso
VXX.BA,ETF inverso

# ADRs argentinos (no son CEDEARs, cotizan en USD en NYSE)
GGAL,ADR Argentina
YPF,ADR Argentina
BMA,ADR Argentina
BBAR,ADR Argentina
SUPV,ADR Argentina
PAM,ADR Argentina
CEPU,ADR Argentina
EDN,ADR Argentina
TGS,ADR Argentina
LOMA,ADR Argentina
IRS,ADR Argentina
CRESY,ADR Argentina
TEO,ADR Argentina

# ETFs de sectores y paises sin CEDEAR
EWG,ETF pais
EWU,ETF pais
EWQ,ETF pais
EWI,ETF pais
EWP,ETF pais
EWL,ETF pais
EWD,ETF pais
EWN,ETF pais
EWW,ETF pais
EWC,ETF pais
EWA,ETF pais
EWT,ETF pais
EWH,ETF pais
EWS,ETF pais
EWM,ETF pais
INDA,ETF pais
MCHI,ETF pais
EZA,ETF pais
TUR,ETF pais
EPOL,ETF pais
ARGT,ETF pais
ECH,ETF pais
EPU,ETF pais
GXG,ETF pais
THD,ETF pais
EIDO,ETF pais
VNM,ETF pais
KSA,ETF pais
AAXJ,ETF global
VGK,ETF global
VPL,ETF global
XBI,ETF industria
XOP,ETF industria
XRT,ETF industria
XHB,ETF industria
KRE,ETF industria
IGV,ETF industria
JETS,ETF industria
LIT,ETF industria
TLT,ETF bonos
IEF,ETF bonos
SHY,ETF bonos
LQD,ETF bonos
HYG,ETF bonos
TIP,ETF bonos
EMB,ETF bonos
UUP,ETF divisas
FXE,ETF divisas
FXY,ETF divisas
DBA,ETF commodities
DBC,ETF commodities
UNG,ETF commodities
