ADS,ADS.DE
EOAN,EOAN.DE
BSN,BN.PA
DTEA,DTE.DE
BABA,BABA
JD,JD
PDD,PDD
BIDU,BIDU
NTES,NTES
TCOM,TCOM
JOYY,JOYY
WBO,WB
NIO,NIO
XPEV,XPEV
LFC,LFC
TSM,TSM
INFY,INFY
HDB,HDB
IBN,IBN
TTM,TTM
SE,SE
SONY,SONY
TM,TM
HMC,HMC
CAJ,CAJPY
MFG,MFG
MUFG,MUFG
NMR,NMR
KB,KB
KEP,KEP
PKS,PKX
HNPIY,HNP
YZCA,YZCHY
JMIA,JMIA
NSAN,NSANY
PCRF,PCRFY
NEC1,6701.T
HHPD,2317.TW
SMSN,SMSN.IL
MELI,MELI
GLOB,GLOB
ARCO,ARCO
BIOX,BIOX
ADGO,AGRO
CAAP,CAAP
GPRK,GPRK
LND,LND
VIST,VIST
TEN,TS
TXR,TX
PBR,PBR
VALE,VALE
ITUB,ITUB
BBD,BBD
BSBR,BSBR
ABEV,ABEV
BRFS,BRFS
GGB,GGB
SUZ,SUZ
SID,SID
BAK,BAK
ELP,CPLE3.SA
EBR,EBR
SBS,SBS
CBRD,PCAR3.SA
UGP,UGP
VIV,VIV
TIMB,TIMB
PAGS,PAGS
STNE,STNE
XP,XP
NU,NU
AMX,AMX
FMX,FMX
KOFM,KOF
ASR,ASR
PAC,PAC
CX,CX
TV,TV
AKO.B,AKO-B
BBAS3,BBAS3.SA
BPA11,BPAC11.SA
HAPV3,HAPV3.SA
LREN3,LREN3.SA
MGLU3,MGLU3.SA
NATU3,NATU3.SA
PRIO3,PRIO3.SA
RENT3,RENT3.SA
WEGE3,WEGE3.SA
SPY,SPY
IVV,IVV
QQQ,QQQ
DIA,DIA
IWM,IWM
IJH,IJH
RSP,RSP
IVE,IVE
IVW,IVW
SPHQ,SPHQ
ESGU,ESGU
VIG,VIG
ACWI,ACWI
EFA,EFA
VEA,VEA
IEUR,IEUR
IEMG,IEMG
EEM,EEM
ILF,ILF
EWZ,EWZ
EWJ,EWJ
EWY,EWY
FXI,FXI
XLB,XLB
XLC,XLC
XLE,XLE
XLF,XLF
XLI,XLI
XLK,XLK
XLP,XLP
XLRE,XLRE
XLU,XLU
XLV,XLV
XLY,XLY
SMH,SMH
IBB,IBB
ITA,ITA
XME,XME
COPX,COPX
URA,URA
ICLN,ICLN
CIBR,CIBR
ARKK,ARKK
GDX,GDX
GLD,GLD
SLV,SLV
USO,USO
IBIT,IBIT
ETHA,ETHA
TQQQ,TQQQ
SPXL,SPXL
SH,SH
PSQ,PSQ
VXX,VXX

# --- del panel de BYMA del 3/9/2026 ---
# Cada subyacente se confirmo contra Yahoo con verificar_tickers.py:
# los diecisiete devuelven barras, en su moneda de origen y no en pesos.
BNG,BG
CLS,CLS
DELL,DELL
GEV,GEV
IBKR,IBKR
KLAC,KLAC
LIN,LIN
MS,MS
NTRA,NTRA
PLD,PLD
SHW,SHW
SKHY,000660.KS
SPCE,SPCE
TLN,TLN
WDC,WDC
WELL,WELL

# --- reincorporados 9/9/2026: la lista de excluidos estaba vieja ---
# Se probaron LOS 26 del panel que no estaban en el universo, contra Yahoo
# y con AAPL y MSFT de control. Estos once devuelven barras hoy.
SPCX,SPCX
ABEV3,ABEV3.SA
BBDC3,BBDC3.SA
CSNA3,CSNA3.SA
ITUB3,ITUB3.SA
PETR3,PETR3.SA
SBSP3,SBSP3.SA
SUZB3,SUZB3.SA
TIMS3,TIMS3.SA
VALE3,VALE3.SA
VIVT3,VIVT3.SA
